"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21942.2674858424","23554.1728088552","24156.0339003943","24978.2261683996","26089.4722576241","26084.3349816329","25944.4068195534","27511.335925091","27780.2328293371","27966.4879936723","30149.4233956115","31421.6405367176","30907.0073723125","31205.3607806399","33774.5272016804","34254.1353154512","35429.1725368776","37366.6949546611","38729.5609875842","34393.2573476728","33784.5379423104","35513.0811947133","34632.9516485573","36830.1566107915","36782.2271167538","37314.5643893106","37587.0659421817","38893.9605556605","40143.0002663329","39834.2239030754","31182.8338812015","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1844.49023754099","1855.85670415987","1811.25052532217","1801.0935162899","1824.7220575845","1894.76232304961","1982.7070631986","2049.99542535747","2057.62240287992","2090.9456239546","2156.35486720168","2227.88910263201","2291.27303977913","2351.05909761335","2484.6025305037","2651.41434613357","2839.03031841872","3030.35606573579","3144.7204728464","3107.56781240867","3218.0186286029","3323.27341304472","3237.87222592599","3365.68432207968","3503.82653439542","3533.33659109102","3627.47428388663","3670.89119624081","3761.03515954019","3814.84662520101","3659.27286844549","3881.59225270534",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","876.327642682203","928.191568870689","925.704226067833","1023.54950071531","1078.90737037771","1230.20478951003","1273.78755500476","1519.31073653477","1710.76292769203","1699.48811019742","1914.77422837964","2015.51477466948","2069.42402167356","2087.30532306683","1981.11806850696","2058.4002210698","2082.3921973316","2152.19024282945","2078.47908182601","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1729.9088906939","1762.53682707689","1800.45625481444","1775.54971538971","1763.08894782789","1789.84069038934","1857.83103802361","1919.59649032639","1957.92606867092","1962.87935932915","2025.09589391156","2121.94262992796","2297.08618018121","2406.42985734876","2596.97134738949","2759.13386610284","2915.29158618944","3070.6804052583","3233.80257533567","3358.51781203378","3532.5301861254","3675.3924410261","3772.32380201726","4013.19652314369","4208.73177986292","4139.32336449734","4069.00566669574","4115.64548016495","4231.32109304406","4335.4091880729","4241.52249851724","4474.97070007434",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3263.33435019347","3295.73095560206","3071.61076444502","2313.92178006664","2318.95282753988","2636.52501437481","2952.01124918467","3119.36550230975","3197.52550243089","3207.39434271258","3271.27026481217","3372.47070844856","3765.60865433093","3823.35014437882","4208.03892810819","4818.77656128059","5344.2238504785","6031.48242344421","6584.87513504794","6441.0352419469","6588.8350757979","6710.75072517349","7412.96713675752","7682.47564633256","8179.29782812609","7337.56990126192","7103.22624879787","7310.89655060067","7148.93325257707","6995.29973633804","6478.33218196834","6581.04202131983",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.70894136592","1909.29081000232","1823.47653372687","2057.66149450937","2290.10991230314","2666.04236485147","2980.37461694994","2717.6443480695","3021.04157736341","3471.66150890924","3860.80462705845","4299.54649293767","4661.40269532788","5000.04936305629","5427.73266241123","5865.30190379844","6566.57282794654","7283.34263812006","8228.34804111345","8813.02946080293","9628.72196177826","10207.7675731705","10526.2591833761","10570.963733047","11259.2675137674","11658.9055171112","12078.8431361844","12770.9642910053","13498.138167156","13999.4239709594","13632.1865366302","15646.0415226344",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6758.57859586625","7317.50247112592","7716.06750162449","7912.41851365856","8103.15534947433","8238.08375626886","8571.16189569429","8905.95057722756","9303.21115578902","9422.50961078541","10065.1913609398","10238.0328092566","10209.2740834065","10611.8380266452","11637.9426977607","12368.2275099395","13170.8514197889","13781.0921013625","14478.2626285553","14283.9723084819","14784.3732379279","15288.3418707372","16184.7074253357","16134.0592527426","15870.6893817227","14317.7699519727","13863.6867379839","14378.7884646065","14821.6304426576","15054.8035684551","14269.2234189005","15125.1052178001",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87131.6797974542","85753.9362218419","85531.9868468122","83757.7748534331","86613.4843559067","89627.8591148375","91844.5840647229","96076.7623244445","92528.4447198121","91580.8887319864","98253.4051807511","96670.4544835147","95476.9263481793","99275.6933645277","101901.91024717","97719.1576003584","95781.5877287776","87209.3794634844","79808.3484068209","68150.4377353664","64889.9679360778","67686.3906066073","69102.4857315895","70374.2303698001","73619.0642808177","64901.8594930739","63968.9044053847","67183.6053123325","68568.0992797355","71144.7159784854","66766.0539321336","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7187.77016544473","7996.65208672539","8709.50479679524","9522.49517368516","10164.0343489605","9958.74032433634","10574.5709638606","11495.3562022571","11936.3998549995","11565.329467072","11605.5922794664","11220.6562290518","10044.6180352158","11029.1550720299","12218.2093218819","13575.3708992394","14967.6249998619","16590.2489655554","17420.6800859004","16330.6328033668","18063.9143432506","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23290.6757386443","22997.3917562633","20769.0323781598","23627.3942944195",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2770.88923282032","2553.18855721505","1547.37830239052","1478.8993107941","1630.56499122464","1816.30554819155","1988.41315945302","2113.31182888836","2311.0971233444","2436.4239005417","2655.32398386298","2994.2480910103","3461.27406472917","4045.11074303861","4616.1802849089","5458.08925946256","6418.63641699399","7560.86836359338","8308.41421639754","7231.22089719026","7507.14476614966","8025.4584849173","9364.37529918435","9835.80246091985","10036.8898405952","9969.66485397823","10704.2297624759","12115.1392902637","13018.8742919449","14230.0148679369","13311.0281362153","14630.2442233356",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11581.4063423696","12073.4146585655","12279.216340633","12968.7964114048","13830.6947146726","13215.8175646844","14039.1355071087","14741.0446757547","15289.8285570764","15766.8577475561","16823.984916947","16164.3606876999","16354.9203931256","17465.1687785597","18723.6862173574","20279.55292595","23205.0451405619","25644.8347904403","25715.2094253327","22429.7514465512","20613.7052442831","20347.8684831466","19598.0238599601","18797.6263678382","19039.0045029811","18911.3068944389","19920.2657838504","19840.2840357027","21519.3692380798","22772.3093362324","18240.3804056479","19837.6501416331",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17367.1105802089","17822.4752810445","18214.5978708352","19159.5215902231","20094.0541110681","20923.5552047671","22008.9115920568","22972.4878585107","24210.6362668513","25296.2635489631","26343.0767025713","27439.8277870076","28768.7286317056","29807.4095606","31407.4614546007","32653.4016208815","34369.6193939212","36599.8507307471","37499.5251319174","40281.799672065","39336.6634845318","42003.1580559752","42836.6718635909","45906.4400399472","46880.8951800484","46248.6164566389","47255.3070085957","48398.5497014956","50169.1872936523","51748.3977215322","53316.8854335814","55807.4440245279",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19461.9969383816","20605.8535653617","21281.1547117021","21720.5110664013","22629.9709565858","23684.6200543557","24553.8401338753","25426.7174051837","26675.0431579236","27606.4830303088","29376.0197364753","29702.7975286074","31178.6933297272","32144.2418052358","33773.825776679","35013.7140443423","37662.1851663577","39430.6091682131","41316.225176699","40918.1321224314","42009.4385277438","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56960.0914258929","58076.348801448","55685.9702933361","58427.4956899576",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5253.44660826408","5321.81099375037","4149.74660557513","3217.65149470211","2603.60192877256","2317.59069546393","2366.63815438445","2522.62837120686","2779.61552655268","3000.92505671238","3381.66620983258","3770.85228711686","4159.94056320335","4639.79442615882","5159.85941090733","6740.4240629969","9243.49764554313","11732.8414907335","12969.2003782405","13972.5947839401","14678.7737395302","14804.5744507911","15957.7188502849","17188.9455056612","17443.8782563094","14938.4011276715","14371.0227410092","14121.4069355591","14549.0618972126","15051.5612816033","14478.5244519377","15842.8895089134",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614.394772085525","651.814892786551","659.113126127703","620.359420954682","598.915982861093","554.762463753781","513.460110278835","508.80242456708","533.442078680339","528.5262407477","526.482060099412","537.06162203648","554.510416722353","541.958991229732","565.203244645687","569.551987914358","599.14395145903","615.981141891007","636.939406388926","643.943237986122","663.127190839067","681.971621284674","690.697691593622","740.977584767542","777.041241495556","841.539953265141","796.944083373075","773.572858670972","779.717037494506","783.157765560833","771.101237228677","793.236434389554",
