Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average,Total
France,FRA,"International tourism, number of arrivals",ST.INT.ARVL,,,,,190282000,185829000,193882000,193319000,193571000,192369000,189826000,196595000,197522000,204410000,206599000,203302000,203042000,207274000,211998000,217877000,117109000,,199231062.5,23.56144116
Spain,ESP,"International tourism, number of arrivals",ST.INT.ARVL,74580000,75564000,79313000,82326000,85981000,92563000,96152000,98907000,97670000,91899000,93744000,99187000,98128000,103231000,107144000,109834000,115561000,121717000,124456000,126170000,36410000,,98706350,11.67319909
Italy,ITA,"International tourism, number of arrivals",ST.INT.ARVL,62702000,60960000,63561000,63026000,58480000,59230000,66353000,70271000,70719000,71692000,73225000,75866000,76293000,76762000,77694000,81068000,84925000,89931000,93228601.56,95399000,38419000,,73569280.08,8.700441799
Poland,POL,"International tourism, number of arrivals",ST.INT.ARVL,84515000,61431000,50735000,52130000,61918000,64606000,65115000,66208000,59935000,53840000,58340000,60745000,67390000,72310000,73750000,77743000,80476000,83804000,85946000,88515000,,,68472600,8.097698802
Croatia,HRV,"International tourism, number of arrivals",ST.INT.ARVL,37226000,40129000,41737000,42857000,44974000,45762000,47733000,52271000,51336000,47573000,49006000,49969000,47185000,48345000,51168000,55858000,57587000,59238000,57668000,60021000,21608000,,49382150,5.840026184
Hungary,HUN,"International tourism, number of arrivals",ST.INT.ARVL,31141000,30679000,31739000,31412000,33934000,36173000,38318000,39379000,39554000,40624000,39904000,41304000,43565000,43611000,45984000,48345000,52890000,54962000,57667000,61397000,31641000,,42129100,4.982266813
United Kingdom,GBR,"International tourism, number of arrivals",ST.INT.ARVL,25209000,22835000,24180000,24715000,27755000,29970000,32713000,32778000,31888000,31072000,30398000,31886000,32221000,33567000,35337000,36792000,39129000,41080000,40283000,40857000,11101000,,32233250,3.81196493
Denmark,DNK,"International tourism, number of arrivals",ST.INT.ARVL,,,,21119000,22054000,26927000,26936000,27138000,26870000,26571000,26730000,25811000,26402000,26516000,28070000,28209000,28692000,30736000,30801000,33093000,15595000,,27216176.47,3.218636354
Germany,DEU,"International tourism, number of arrivals",ST.INT.ARVL,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000,37452000,38881000,39563000,12449000,,27428400,3.243734309
Czech Republic,CZE,"International tourism, number of arrivals",ST.INT.ARVL,,,,20108000,23808000,24747000,25102000,22625000,21850000,23285000,21941000,22810000,25750000,26332000,27166000,29604000,32519000,34701000,36268000,37202000,,,26812823.53,3.170935074
